id;jhi_binary;jhi_binary_content_type;description
1;../fake-data/blob/hipster.png;image/png;ADP (Bouvetoya) Specialist
2;../fake-data/blob/hipster.png;image/png;wireless 9(E.U.A.-9)
3;../fake-data/blob/hipster.png;image/png;Frozen Ergonomic Avon
4;../fake-data/blob/hipster.png;image/png;deposit Macao Rustic
5;../fake-data/blob/hipster.png;image/png;Square compress
6;../fake-data/blob/hipster.png;image/png;Auto Architect
7;../fake-data/blob/hipster.png;image/png;alarm seize Research
8;../fake-data/blob/hipster.png;image/png;clear-thinking
9;../fake-data/blob/hipster.png;image/png;Unbranded Franc Central
10;../fake-data/blob/hipster.png;image/png;digital challenge
